,coconut_id,unique_smiles
205196,CNP0268044,OC1CC(=CC2C(CCC(O)(C)C12)C(C)C)C
205200,CNP0262848,OC1CCC2(C)C3CCC4(C)C(CCC4C3C(O)C5OC52C1)C(C)CCCC(C)C
205207,CNP0262470,O=C1C=C(OC=2C(OC3C=4C(=O)C=C(OC4C(O)C(O)C3O)CCC=5C=CC=CC5)=CC=C(OC6C(O)C=7C(=O)C=C(OC7C(O)C6O)CCC=8C=CC=CC8)C12)CCC=9C=CC=CC9
205209,CNP0179988,O=C(OCC1OC(OCCC2=CC=C(OC)C(O)=C2)C(O)C(OC3OC(C)C(O)C(O)C3O)C1O)C=CC4=CC=C(O)C(OC)=C4
205210,CNP0395048,O=C1OC(CC)C(COC2OC(C)C(O)C(OC)C2OC)C3OC3(C=CC(=O)C(C)CC(CC)C(OC4OC(C)C(OC5OC(C)C(O)C(O)(C)C5)C(N(C)C)C4)C(C)C(O)C1)C
205212,CNP0379368,O=CC1=CC2C3C(OC(=O)CCCCCCCCCCCCCCC)(CC(C)C2(O)C4C=C(C(=O)C4(O)C1)C)C3(C)C
205215,CNP0353831,O=C1OC(C2=CCC3(C)C(CC4(C(=C)C3(C(=O)OC)C(=O)C4O)C)C(O)(C2=C1)C)(C)C
205218,CNP0246147,O=C1OC(C)C(COC2OC(C)C(O)C(O)C2OC)C3OC3C=CC(=O)C(O)(C)CCC(O)C(C=C1)C
205222,CNP0111450,O=CC1=CC2=CC=C(O)C(OC)=C2C=3C4=CC(OC)=C(OC)C=C4C(O)C13
205233,CNP0425329,O=C(C=C(C=C)C)C(C)CC
205236,CNP0250453,OCC1(C)C(O)CCC2(C)C3C(=CCC12)CC(C=C)(C)CC3
205238,CNP0153031,OC1=CC=C(C=C1OC)C(O)C(OC2=CC=C(C=C2OC)CCCOC3OC(CO)C(O)C(O)C3O)CO
205246,CNP0227114,O=C(OC)C12CC=3C=4C=CC=CC4NC3C(=O)CC2C(=CC)CN(C)C1
205248,CNP0188357,O=C(OC1C2C(=C)C(O)CC(OC(=O)C)C2(C)C(OC(=O)C)C(OC(=O)C)C3(O)C4(OCC3(C)C1CC4=O)C)C
205254,CNP0103144,O=C1C2=CC=C3C=C(C=C(O)C3=C2C(=O)C=4C=CC=C(O)C14)C
205257,CNP0193358,O1C=CC2=C1C3C=C(C)C(CC2)C(C)(C)C3
205258,CNP0084507,O=C(OCC(OC(=O)CCCCCCCCCCCCCCC)CO)CCCCC=CCC=CCC=CCCCCC
205259,CNP0193782,O=C(O)C(=C)CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(N2C=NC=3C(=NC=NC32)N)C(O)C1OP(=O)(O)O
205264,CNP0079976,O=C(O)C(N=C(O)OC(C)(C)C)CC1=CNC=2C=CC=CC21
205265,CNP0131610,O([Si](O[Si](O[Si](O[Si](C)(C)C)(C)C)(C)C)(C)C)[Si](O[Si](O[Si](C)(C)C)(C)C)(C)C
205268,CNP0165631,O=C(OCC1OC(OC2C(O)C(O)COC2OC=3C(=O)C4=C(O)C=C(OC5OC(C)C(O)C(O)C5O)C=C4OC3C=6C=CC(O)=C(O)C6)C(O)C(O)C1O)C=CC7=CC=C(O)C=C7
205279,CNP0329959,O=C(OC1CC(OC(=O)CC(C)C)C2(OC2)C3C(OC(=O)C)C45OC(C(=C)C(Cl)C5OC(=O)C4C)C(I)C(OC(=O)C)C13C)C
205288,CNP0192451,O=C(O)C1(C)CCCC2(C3=CC=C(C=C3CCC12)C(C)C)C
205291,CNP0155108,OC1=C(OC)C(OC)=CC2=C1C3=C(OC)C(OC)=CC4=C3C(N(C)CC4)CC2
205308,CNP0210620,O=C(OC1CC2C(=O)OC(C3=COC=C3)CC2(C)C4CC5OC(=O)C(C5)C14)C=CC6=CC=C(OC)C=C6
205309,CNP0149254,O=C1OC2C(N)C3=CC(=C(O)C(O)=C3C14CCCC(C)(C)C24)C(C)C
205310,CNP0345386,O=C(C1=CC=C(OCC(=O)NC(C)(C)CC(C)(C)C)C=C1)C
205314,CNP0191541,O=C1C(OC)=C2C(C=CC(=O)C2(C)C)(C=3C(OC)=C(O)C(=CC13)C)C
205319,CNP0425330,N1=CC=C(N=C1N)C2=NCCC=3C=4C=CC=CC4NC23
205321,CNP0292282,O=C(OC1C(=CC(C)C(O)C(OC)CC(C)CC=2C(=O)C(NC(=O)C(=CC=CC1OC)C)=C(C(=O)C2OC)C(OC)C(=O)CC(O)C)C)N
205324,CNP0135897,OCC1OC(OC=2C=CC=3C=C(C4=CC=5OCOC5C=C4OC)COC3C2)C(O)C(O)C1O
205326,CNP0080988,O=C1OC(CC(=O)C(C=C(C)C(O)CC(=O)C(C)CC(C=CC=CC=C(C)C(OC)CC2OC(O)(C(=O)C(=O)N3CCCCC13)C(C)CC2)C)C)C(C)CC=4C=CC=C(O)C4
205327,CNP0120549,O=C1OC2CC(=C)C(O)CCC(=CC(O)C2C1COC)C
205329,CNP0262777,O=C1C=CC2OC2CCC(=CC3C=C(C)C(C)C4C(N=C(O)C134)CC(C)C)C
205342,CNP0217928,O=C1NC=2C=CC=CC2C13C4OCC5C6N(C)CC(C=C)(C5C4)C63
205347,CNP0244856,O=C1OC2(OC3CCCN4C(=O)CCC4C3C2CC)CC1C
205349,CNP0260995,O=C(C(=CC(C)CC(C)CC(O)(C)CC)C)CC
205354,CNP0344189,O=C(OC)C12OC3=CC=C(C(O)=C3C(O)=C2C(=O)CC(C)C1O)C=4C=CC=5OC6(C(=O)OC)C(C(=O)CC(C)C6O)=C(O)C5C4O
205357,CNP0082146,OC1CC(=CC=C2CCCC3(C)C2CCC3C(O)(C)CC(O)CC(O)(C)C)C(=C)CC1
205360,CNP0292456,O=C1C(=CC=2C=CC(=C3C2C1(O)CC(=C)CCC3)C)C(C)C
205361,CNP0266460,O=C1C2=C(CCC(C=C)(C)C2)C3(C)C(O)C(=O)C=C(CO)C3C1
